id,genre,track_name,artist_name,valence,energy
6vFUFJzXkbbW2YHWt3tIom,acoustic,Cowboys and Angels - Edit,Various Artists,0.403,0.639
1NdgDGYG4J827IvfeDgF4o,acoustic,Dear Mr. President,Various Artists,0.297,0.299
2dLLR6qlu5UJ5gk0dKz0h3,acoustic,Royals,Lorde,0.337,0.428
1SZ63wN0pk18Dr4Epyhcsf,acoustic,Tainted Love,Hannah Peel,0.437,0.192
1J4YoubtTxLuoKBzRIzHvv,acoustic,Taylor,Jack Johnson,0.569,0.729
277Q2UaF8FeL7WNWQgzdlk,acoustic,Place To Be,Nick Drake,0.432,0.234
43XA2gfgLQGKfIumzQZNCF,acoustic,Art of Motion,Andy McKee,0.609,0.256
0Cll7d8lmNn05ZOVm5l5va,acoustic,Over The Rainbow/What A Wonderful World,Various Artists,0.661,0.16
3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,0.0974,0.294
0O36Yqb2aFcThBphczYoAY,acoustic,A Drop In The Ocean,Ron Pope,0.473,0.452
1LiteNBpuy5ltDtESG1rmr,acoustic,Feel the Same,Joshua James,0.261,0.562
4Mf6w0cowyBNcu2aoVC9GX,acoustic,Never Let You Go,Justin Bieber,0.62,0.802
0ygAYQQy7bfDN6gH640bbl,acoustic,Wake Me Up,Ed Sheeran,0.336,0.209
2bbhyUWJ5VjdfI3P4PRLu2,acoustic,Samson,Regina Spektor,0.184,0.193
2f3pT7xCMaNUL3jWNZDSto,acoustic,Pennyroyal Tea,Nirvana,0.0393,0.457
0Qw7qGuXlVBZLcfoQ17yZn,acoustic,Old Pine,Ben Howard,0.226,0.358
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248
4oiPC90DjIQXXgMMgbHK4G,acoustic,Free,Donavon Frankenreiter,0.851,0.464
6mFzy1Jha9RSCcQAJZ1M6y,acoustic,Gangnam Style,Jayesslee,0.591,0.391
3RgR3cFZ6xh7MlB9DURK6e,acoustic,Shadow Days,John Mayer,0.254,0.559
4FLvG5dzvorjI9USGay9wB,acoustic,Euphoria,Tyler Ward,0.272,0.624
6EGlya6vCQzo3PdutOJEJP,acoustic,Your Song,Calle Kristiansson,0.208,0.355
2YzXf2r5NoAnECWO6ByZb5,acoustic,I've Got This Friend,The Civil Wars,0.304,0.293
1PUh1GENlvlgu0dW28I6tY,acoustic,"Hello, I'm In Delaware",City and Colour,0.388,0.458
3bKVklavvdDpGUMsoVlTQU,acoustic,Your Song - BBC Session,Elton John,0.201,0.409
7MR2EsOZadH0QaagQiHCbk,afrobeat,Hold You [Hold Yuh],Reggae Gold,0.494,0.632
7lkaRVwfvb3ZECsynR5xGo,afrobeat,Sexy Dance (feat.Krys),Fally Ipupa,0.866,0.948
3WBj4KNwFM4n5WDGqa9Lac,afrobeat,Ada Ada,Flavour,0.936,0.961
7c48tQqkouJP6vIqNxZcLR,afrobeat,Be'smi lah,Amadou & Mariam,0.693,0.818
2omKTr5vQEGXJva7vOsFOr,afrobeat,Bisso Baba (Always Together),Richard Bona,0.446,0.535
6HzuE69DMIjj7jtB912shg,afrobeat,Anything,P-Square,0.668,0.847
2RgMZ2GGe2nsQnY4sMs4i8,afrobeat,Tajabone,Various Artists,0.313,0.263
5HQVUIKwCEXpe7JIHyY734,afrobeat,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.531,0.655
0SxRcBh6IgYmp6mzcPx0OR,afrobeat,Souba,Rokia Traoré,0.499,0.0979
7ha7zYOryB0rpnMTa4S75U,afrobeat,Got 2 Luv U (feat. Alexis Jordan),Sean Paul,0.647,0.793
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.78,0.837
24xmFCREF5JiqKBhLHqgKL,afrobeat,King of Kings,Ladysmith Black Mambazo,0.392,0.0522
0nyJamnBVUQvjI0GcvMfbo,afrobeat,Listen to the Breeze,Chiwoniso,0.735,0.711
0uZbMcQP8LWeFKXf1h3KQT,afrobeat,Wily Kataso - feat. Tunde & Kyp of TV On The Radio,Amadou & Mariam,0.882,0.77
4AqQIE3qpRV9T30NtvMnHP,afrobeat,Roll It,P-Square,0.974,0.806
5KgU4lp0870zryRc3BEeDN,afrobeat,Roforofo Fight,Fela Kuti,0.751,0.9
2bUahGkYleCClEvXvH8TVR,afrobeat,Asuf D Alwa,Tinariwen,0.46,0.527
2gK3Mp8XdNk4wtXyytQTC9,afrobeat,Dieuf Dieul,Cheikh Lô,0.768,0.579
7MZphbmObz8ASYkG1CYhsS,afrobeat,Promesses Bla Bla,Tiken Jah Fakoly,0.647,0.454
3N4gUEMXtxvDhPo5ifI5uX,afrobeat,Spirit of the Forest,Baka Beyond,0.968,0.568
2YvGLm7HGIRwzH1pgQDmRP,afrobeat,Secret Agent,Tony Allen,0.95,0.604
4DKowjY9GwG1FQgB6UNiGh,afrobeat,Nebe Miri - feat. Theophilus London,Amadou & Mariam,0.74,0.813
6EhMqP60LFRqfABN4Pc2wP,afrobeat,Kala Djula,Ali Farka Touré,0.786,0.43
0PTsGBTTMJEnUTuKLbr6rn,afrobeat,Nibari,Various Artists,0.45,0.454
6VhfsXyTnRRnNX77dQO1WA,afrobeat,Shining Star,Nneka,0.532,0.595
3GgTPvYA0DLga9PPkYIdGR,alt-rock,Indie Cindy,Pixies,0.482,0.803
6vdQ2npv78yOkUgOeCPtuT,alt-rock,Like Somebody,Guano Apes,0.189,0.955
6lSr3iZTC144PKhvbPFzMp,alt-rock,Blurry,Puddle Of Mudd,0.523,0.938
7cuIQgdm380dPia0PyQAc8,alt-rock,The Last In Line,Various Artists,0.397,0.942
0nMHncX7iAq0Cwk11tnzCI,alt-rock,Raft Song,Eleventh Dream Day,0.638,0.676
6rqkwoZu5oX5hugeyiJCM8,alt-rock,Follow You Down,Gin Blossoms,0.68,0.924
0QXSKayRWtfxMKHJxVurkZ,alt-rock,Rebel Beat,The Goo Goo Dolls,0.63,0.879
72HFZtXCLcRwYYQO0kJIvi,alt-rock,Tropical Ice-land,Various Artists,0.651,0.859
1wsRitfRRtWyEapl0q22o8,alt-rock,Guerrilla Radio,Rage Against The Machine,0.489,0.957
6C7Zo57KvXSMdMZDW5fzD6,alt-rock,Nowhere Again,Secret Machines,0.252,0.904
5pPlWW8ZfCKRChQYvASHGT,alt-rock,Car,Built To Spill,0.356,0.545
4E6YM4V7Kz6zpbiNsliwEl,alt-rock,Just Like Honey,The Jesus and Mary Chain,0.535,0.437
53XBXgtdqf1gmWMm3rqV27,alt-rock,Tribute,Tenacious D,0.422,0.767
1fvGs20dhb5eyiAurPO75y,alt-rock,Push And Shove,No Doubt,0.513,0.897
2daWGEfV5nmfEOb53S70Pi,alt-rock,Gone To The Movies,Semisonic,0.612,0.32
5zsFpdxEx1JxvMNN9afHor,alt-rock,Imagine,A Perfect Circle,0.178,0.476
2lwwrWVKdf3LR9lbbhnr6R,alt-rock,Float On,Modest Mouse,0.553,0.888
3RsjkOS5Dou8j3AM9ssgpy,alt-rock,Lazy Eye,Silversun Pickups,0.333,0.809
60IMjTxu5reUpuhuZcdgVA,alt-rock,Edge Of A Revolution,Nickelback,0.717,0.966
0cTJ3r2rK5XgHdndYHwLzn,alt-rock,I Wanna Take You Home,Nada Surf,0.45,0.788
4UXSYJDEgOlMX3MXVkaiyH,alt-rock,It's Only Life,The Shins,0.454,0.623
6S1X3oZV4NwJejOYOSz4uj,alt-rock,Father Of Mine,Everclear,0.837,0.944
3G0kzHUQGkhgWurrYEOQKd,alt-rock,Yesterday Once More,Various Artists,0.44,0.803
3dY333lAf3k3EfK7gtRsvs,alt-rock,Crash Landing,The Verve Pipe,0.27,0.578
0nNVR2iDM3eVzEgMi78vQm,alt-rock,Let Me Go,3 Doors Down,0.491,0.863
1kWja6NVaLZThMop9MYVDz,alternative,Wrong Way,Sublime,0.916,0.667
3G6hD9B2ZHOsgf4WfNu7X1,alternative,Team,Lorde,0.416,0.578
7oVEtyuv9NBmnytsCIsY5I,alternative,BURN IT DOWN,Linkin Park,0.585,0.972
1kUmkp42FTNSl5bZmjj5Xq,alternative,I'm a Mess,Body Language,0.772,0.592
1iTzI4NSQNLIETWDJ1WNWi,alternative,Machinehead,Bush,0.156,0.875
19K3lUMJmOdeuOBTrbLm19,alternative,Weekend Wars,MGMT,0.69,0.859
37CBHPCzV1rizPrxRUyR72,alternative,No You Girls,Franz Ferdinand,0.899,0.909
76aadnUFFANRNDs6L3aqxw,alternative,Through Glass,Stone Sour,0.434,0.753
3k9qjgu8zVKTEuJVJIYyc0,alternative,Just Breathe,Pearl Jam,0.302,0.349
2rPw8mIZPu987REVeDbrjt,alternative,Dangerous (feat. Joywave),Big Data,0.954,0.578
783qeLLLyhPR9HBIPL6MVf,alternative,I Can Talk,Two Door Cinema Club,0.641,0.774
7K2vo9oSUzFgmtIXNYegzP,alternative,Fire,Kasabian,0.166,0.74
11Z7DsmzTwKIEbSSnPwH1C,alternative,Knee Socks,Arctic Monkeys,0.587,0.542
2ZnnQ6teVXCuKPHDuooAlX,alternative,First Love Never Die,Soko,0.237,0.364
77c0xyUM14wHa0cEAR9BV0,alternative,Lisztomania,Phoenix,0.33,0.79
1HRThJebs60Dk6jAhpkwsm,alternative,Savior,Rise Against,0.466,0.932
0UrWr7Jnu1heq1o99ZwUd0,alternative,Youth of the Nation,P.O.D.,0.517,0.86
6DVcpS1ZYE6F15HXR42itt,alternative,Dance All Night,Free Energy,0.494,0.554
2rmoeBqloVIhg7Zb20n5Sq,alternative,Give It Away,Red Hot Chili Peppers,0.781,0.989
7q4MJZSiqPC16dbhQWxugv,alternative,Cape Cod Kwassa Kwassa,Vampire Weekend,0.794,0.518
6U5hUX40OWY6l0HaPUWElZ,alternative,Banquet,Bloc Party,0.856,0.939
5op53ANI4exiWqFHKuwWxd,alternative,The World At Large,Modest Mouse,0.249,0.477
1ujkNl9ASh78Y6WbmWDGG4,alternative,Love Run Dry,Owl Eyes,0.52,0.674
2takcwOaAZWiXQijPHIx7B,alternative,Time is Running Out,Muse,0.428,0.842
37LoKuV4PWzrtFicRNldtw,alternative,In the Yard,Bowerbirds,0.239,0.496
1SCHyoGvd11GpbPw6z01Gt,ambient,Photosynthesis,Carbon Based Lifeforms,0.0347,0.626
6djRBKQoWVHgnFZNFP7dtd,ambient,Lost,Hecq,0.613,0.15
3szv1wBCcMXFx7GdPNm721,ambient,The Last Door,Brian Eno,0.0632,0.0676
4I7pO04IarBBQAcqRMcWhz,ambient,Freeze-frames,Biosphere,0.135,0.331
2rptpw6hQQ8YewzB2hKOrj,ambient,Star 6 & 7 8 9,The Orb,0.872,0.389
0gch6AYwzLRfoJWci08vsp,ambient,An Ocean and Peril,The Black Atlantic,0.0839,0.127
4zcgiC2Vw4su0U6QOCGCMO,ambient,Amateur Cartography,Obfusc,0.0372,0.347
7ixlvVphewtUP008zLJLJY,ambient,Tear-blind Eyes,Various Artists,0.0371,0.0772
7ec0sstNnjy5EPug76BJHs,ambient,Ascension,Tycho,0.139,0.536
7zjWtWDCNgeXSY78nLzBQJ,ambient,Digging Shelters,Neil Halstead,0.279,0.274
5mdtWRxSVzwu3M1pQrSVOP,ambient,And Then So Clear,Various Artists,0.0349,0.192
7whKNTYukx5k5Iq89Xb1K4,ambient,Candles,Jon Hopkins,0.0603,0.148
1EKk6Xvei9N9scaQcrax2S,ambient,The World Is Our ___,This Will Destroy You,0.0393,0.645
4ZEVoBaSKdJfpeunWmyQfs,ambient,Proton/Electron,Carbon Based Lifeforms,0.299,0.55
07KSkoLU9YJZtURfvJBuRl,ambient,PBS,Tycho,0.353,0.579
660j84jp8ljIwLFiAFprlb,ambient,Another Green World - Remastered 2004,Brian Eno,0.458,0.00383
2Gx9hoFSvLApiHdZcR9yuB,ambient,From Trunch to Stromness,Ott,0.187,0.658
1L37SbwQb40SvA8hyKicDZ,ambient,Sequor,Sync24,0.0313,0.252
5bC3Il3VS5ckuFuZ9BlbaG,ambient,Last Walk Around Mirror Lake - Boards of Canada Remix,Boom Bip,0.0699,0.568
6Uv5cYYxDwVRb8PVHGdXcN,ambient,Final Sunset - 2005 Digital Remaster,Brian Eno,0.0372,0.174
5Jh2I2mcYTvTse5THWSKq3,ambient,Fromme,Loscil,0.232,0.407
3fzkfWvzatwTpf9OHg7SlA,ambient,Smalltown Boy - Flatliners Remix,Various Artists,0.303,0.542
2pQV1J8zokISM1Ew5uSGI1,ambient,Immunity,Jon Hopkins,0.0594,0.305
1arBwH3cCITd3MRAr2sn4d,ambient,"My Dove, My Lamb",Phosphorescent,0.104,0.326
54Op4kBfJ00NABAz2ZDYCn,ambient,Phase 07 - Forgotten,Solar Fields,0.0997,0.076
2WAh0ViRAtzn8QRIcQtdUr,anime,MEMORIA,Eir Aoi,0.428,0.825
5EYwYPNoROh0CPxTML5iLj,anime,pastel,ClariS,0.932,0.95
25URYSJ4i9cahTNJYVEpqv,anime,夢は終わらない~こぼれ落ちる時の雫~,後ろから這いより隊,0.589,0.881
683BwxNnoUdR610Rqlq1NJ,anime,ハートリアライズ,Tia,0.277,0.952
3L6AKNglnFazp3MwcBcVot,anime,もしも毎日がクリスマスだったら,i☆Ris,0.467,0.917
0778RbpXNGP5BzIUIZiVrm,anime,幻想ドライブ,Ami Wajima,0.502,0.951
3m5o3tt0Gv6H2QaQmXQ9zH,anime,紙ひこうき風になった,はなこ&ヒバリ(CV.花守ゆみり&白石晴香),0.307,0.195
445tIIA7LX9d3bLKhzaNAQ,anime,Dreamin',ClariS,0.796,0.896
2xqXT8u1gPO4qHIwJWuXaZ,anime,手遅れ,EGOIST,0.434,0.638
3q6Rqbhv4ta78QwrMKA5dX,anime,7 Girls War,"Wake Up, Girls!",0.464,0.924
4zcnAS6PFjilx4tBpAngOr,anime,Door,Kalafina,0.144,0.391
1eT6eSITAnHijL5JobbOvq,anime,Mach 1.67,Wataru Hatano,0.863,0.891
3kjsitsCuMB2RCDWSUtA10,anime,IN MY WORLD,ROOKiEZ is PUNK'D,0.707,0.98
